迭代精度：0.001
迭代次数：1000
wkt_geom	tail	head	flow	time
MultiLineString ((424575 2050281, 413586 1936728))	801	913	87.13000000000001	0.692222222222222
MultiLineString ((413586 1936728, 424575 2050281))	913	801	125.31000000000003	0.692222222222222
MultiLineString ((451881 1855809, 413586 1936728))	864	913	0	0.648611111111111
MultiLineString ((413586 1936728, 451881 1855809))	913	864	0	0.648611111111111
MultiLineString ((386946 2094570, 405594 2176488))	914	915	112.48	0.607222222222222
MultiLineString ((405594 2176488, 386946 2094570))	915	914	14.629999999999999	0.607222222222222
MultiLineString ((457209 2016981, 413586 1936728))	708	913	135.42000000000002	0.556666666666667
MultiLineString ((413586 1936728, 457209 2016981))	913	708	171.40000000000003	0.556666666666667
MultiLineString ((393606 1645686, 484515 1644687))	928	463	1728	0.443333333333337
MultiLineString ((484515 1644687, 393606 1645686))	463	928	1555	0.443333333333336
MultiLineString ((794205 1782549, 804861 1659339))	906	931	157	0.410555555555556
MultiLineString ((804861 1659339, 794205 1782549))	931	906	104	0.410555555555556
MultiLineString ((451881 1985679, 413586 1936728))	714	913	215.63999999999996	0.378055555555556
MultiLineString ((413586 1936728, 451881 1985679))	913	714	145.42	0.378055555555556
MultiLineString ((424575 2145186, 386946 2094570))	780	914	182.49999999999997	0.375555555555556
MultiLineString ((386946 2094570, 424575 2145186))	914	780	626.3599999999998	0.375555555555556
MultiLineString ((542457 2082249, 542457 2049615))	800	808	0	0.344166666666667
MultiLineString ((542457 2049615, 542457 2082249))	808	800	0	0.344166666666667
MultiLineString ((482517 1858806, 484182 1825173))	865	868	165.69	0.342222222222223
MultiLineString ((484182 1825173, 482517 1858806))	868	865	120.31000000000004	0.342222222222222
MultiLineString ((780219 1752912, 805527 1717281))	908	912	0	0.342222222222222
MultiLineString ((805527 1717281, 780219 1752912))	912	908	0	0.342222222222222
MultiLineString ((794205 1782549, 811854 1752912))	906	909	210.29999999999998	0.318888888888889
MultiLineString ((811854 1752912, 794205 1782549))	909	906	55	0.318888888888889
MultiLineString ((780219 1752912, 776889 1704294))	908	911	575.69	0.317222222222222
MultiLineString ((776889 1704294, 780219 1752912))	911	908	219.91000000000003	0.317222222222222
MultiLineString ((681984 1666665, 718614 1629702))	893	901	73.02999999999999	0.316111111111111
MultiLineString ((718614 1629702, 681984 1666665))	901	893	32.42	0.316111111111111
MultiLineString ((772560 1813185, 751914 1782882))	514	905	1007.3	0.313055555555556
MultiLineString ((751914 1782882, 772560 1813185))	905	514	638.4899999999999	0.313055555555556
MultiLineString ((453879 2026305, 393606 2052612))	388	390	1518.4899999999996	0.308055555555557
MultiLineString ((393606 2052612, 453879 2026305))	390	388	1536.1699999999994	0.308055555555557
MultiLineString ((749583 1751913, 751248 1703295))	907	910	318.5400000000001	0.307222222222222
MultiLineString ((751248 1703295, 749583 1751913))	910	907	92.53999999999999	0.307222222222222
MultiLineString ((553779 2017314, 542457 2049615))	584	808	230.11999999999995	0.295555555555558
MultiLineString ((671328 2023641, 657675 2041623))	597	778	0	0.295555555555556
MultiLineString ((657675 2041623, 671328 2023641))	778	597	0	0.295555555555556
MultiLineString ((542457 2049615, 553779 2017314))	808	584	45.55000000000002	0.295555555555556
MultiLineString ((717948 1668330, 751248 1703295))	894	910	58.74999999999999	0.295277777777778
MultiLineString ((751248 1703295, 717948 1668330))	910	894	177.87999999999997	0.295277777777778
MultiLineString ((515151 1857141, 484182 1825173))	866	868	630.479999999999	0.288055555555557
MultiLineString ((484182 1825173, 515151 1857141))	868	866	322.84000000000003	0.288055555555556
MultiLineString ((748251 1831500, 730935 1797867))	902	670	934.76	0.287777777778305
MultiLineString ((730935 1797867, 748251 1831500))	670	902	576.82	0.287777777777854
MultiLineString ((730935 1797867, 731268 1765566))	670	854	65.18	0.286388888888889
MultiLineString ((731268 1765566, 730935 1797867))	854	670	29.9	0.286388888888889
MultiLineString ((649683 1806525, 601731 1792872))	453	454	2676.039999999991	0.285277777777792
MultiLineString ((601731 1792872, 649683 1806525))	454	453	2400.449999999997	0.285277777777787
MultiLineString ((535131 2176155, 522810 2221110))	919	924	189	0.282777777777778
MultiLineString ((522810 2221110, 535131 2176155))	924	919	148	0.282777777777778
MultiLineString ((553779 2017314, 558441 2049615))	584	768	673.5799999999994	0.281944444444444
MultiLineString ((558441 2049615, 553779 2017314))	768	584	251.52	0.281944444444444
MultiLineString ((730935 1797867, 751914 1782882))	670	905	706.3200000000002	0.277777777777788
MultiLineString ((751914 1782882, 730935 1797867))	905	670	603.7299999999999	0.277777777777783
MultiLineString ((521145 2144520, 502497 2176155))	783	918	281.82	0.277222222222226
MultiLineString ((502497 2176155, 521145 2144520))	918	783	49.500000000000014	0.277222222222222
MultiLineString ((708624 1885113, 734265 1845819))	528	526	6665.940000000015	0.273333333333463
MultiLineString ((734265 1845819, 708624 1885113))	526	528	4781.450000000012	0.273333333333368
MultiLineString ((419580 1920744, 451881 1889775))	417	732	206.48999999999995	0.273333333333333
MultiLineString ((451881 1889775, 419580 1920744))	732	417	240.35	0.273333333333333
MultiLineString ((811854 1752912, 805527 1717281))	909	912	6.49	0.273055555555556
MultiLineString ((805527 1717281, 811854 1752912))	912	909	5.1	0.273055555555556
MultiLineString ((709290 1868463, 725940 1879452))	580	581	130.55	0.271944444444444
MultiLineString ((725940 1879452, 709290 1868463))	581	580	180.62	0.271944444444444
MultiLineString ((617715 2145186, 634365 2176488))	743	922	838.1899999999999	0.269722222222242
MultiLineString ((634365 2176488, 617715 2145186))	922	743	454.56	0.269722222222224
MultiLineString ((794205 1782549, 751914 1782882))	906	905	1189.73	0.26888888888889
MultiLineString ((751914 1782882, 794205 1782549))	905	906	901.77	0.268888888888889
MultiLineString ((731268 1734264, 751248 1703295))	861	910	97.59000000000002	0.266944444444444
MultiLineString ((751248 1703295, 731268 1734264))	910	861	55.769999999999996	0.266944444444444
MultiLineString ((394605 2078253, 424575 2050281))	389	801	137.74	0.266111111111111
MultiLineString ((424575 2050281, 394605 2078253))	801	389	125.52999999999999	0.266111111111111
MultiLineString ((488511 2144187, 502497 2176155))	782	918	98.67000000000002	0.263888888888889
MultiLineString ((502497 2176155, 488511 2144187))	918	782	17.38	0.263888888888889
MultiLineString ((451881 1921743, 413586 1936728))	726	913	338.74	0.260555555555556
MultiLineString ((413586 1936728, 451881 1921743))	913	726	199.5	0.260555555555556
MultiLineString ((795537 1710954, 625041 1589409))	518	930	0	0.258888888888889
MultiLineString ((625041 1589409, 795537 1710954))	930	518	0	0.258888888888889
MultiLineString ((668997 1952379, 648351 1948383))	556	624	0	0.257777777777778
MultiLineString ((648351 1948383, 668997 1952379))	624	556	0	0.257777777777778
MultiLineString ((648351 1948383, 669663 1936728))	624	557	1423.3400000000001	0.256944444444454
MultiLineString ((669663 1936728, 648351 1948383))	557	624	805.16	0.256944444444445
MultiLineString ((452214 1954044, 413586 1936728))	720	913	480.16	0.256944444444444
MultiLineString ((413586 1936728, 452214 1954044))	913	720	259.54	0.256944444444444
MultiLineString ((424575 2113884, 386946 2094570))	785	914	168.9	0.256666666666667
MultiLineString ((386946 2094570, 424575 2113884))	914	785	302.18	0.256666666666667
MultiLineString ((584082 1626705, 625707 1620045))	896	899	24.650000000000002	0.256388888888889
MultiLineString ((625707 1620045, 584082 1626705))	899	896	27.659999999999982	0.256388888888889
MultiLineString ((679986 1733598, 681318 1698300))	859	887	92.83000000000008	0.255833333333333
MultiLineString ((681318 1698300, 679986 1733598))	887	859	15.969999999999992	0.255833333333333
MultiLineString ((745920 1814517, 751914 1782882))	513	905	2781.189999999999	0.253333333333349
MultiLineString ((751914 1782882, 745920 1814517))	905	513	1222.7199999999996	0.253333333333334
MultiLineString ((731268 1734264, 717282 1699965))	861	888	81.19999999999997	0.251666666666667
MultiLineString ((717282 1699965, 731268 1734264))	888	861	25.710000000000004	0.251666666666667
MultiLineString ((731268 1765566, 731268 1734264))	854	861	13.429999999999996	0.250833333333333
MultiLineString ((731268 1734264, 731268 1765566))	861	854	2.639999999999999	0.250833333333333
MultiLineString ((521145 2144520, 535131 2176155))	783	919	584.7699999999998	0.250000000000001
MultiLineString ((535131 2176155, 521145 2144520))	919	783	201.76999999999998	0.25
MultiLineString ((611388 2173158, 615051 2229768))	418	923	1661	0.249444444444445
MultiLineString ((615051 2229768, 611388 2173158))	923	418	1517	0.249444444444445
MultiLineString ((583749 1698966, 584415 1664334))	863	890	55.53999999999999	0.249444444444444
MultiLineString ((584415 1664334, 583749 1698966))	890	863	45.380000000000024	0.249444444444444
MultiLineString ((781218 1824174, 788877 1785546))	903	516	2228.2700000000013	0.24888888888889
MultiLineString ((788877 1785546, 781218 1824174))	516	903	1716.28	0.248888888888889
MultiLineString ((617715 2145186, 599067 2176488))	743	921	246.08	0.248333333333333
MultiLineString ((599067 2176488, 617715 2145186))	921	743	78.30999999999999	0.248333333333333
MultiLineString ((616050 1651347, 584082 1626705))	891	896	229.4	0.246388888888891
MultiLineString ((584082 1626705, 616050 1651347))	896	891	39.59	0.246388888888889
MultiLineString ((424908 2082249, 386946 2094570))	793	914	579.3099999999998	0.241666666666667
MultiLineString ((386946 2094570, 424908 2082249))	914	793	629.52	0.241666666666667
MultiLineString ((559107 2113884, 558108 2145519))	746	738	444.31999999999977	0.239444444444445
MultiLineString ((558108 2145519, 559107 2113884))	738	746	86.01000000000002	0.239444444444444
MultiLineString ((451881 1855809, 452547 1822842))	864	867	215.45999999999992	0.239166666666667
MultiLineString ((452547 1822842, 451881 1855809))	867	864	133.26000000000002	0.239166666666667
MultiLineString ((552447 1663668, 549783 1624707))	889	895	87.53000000000007	0.238611111111111
MultiLineString ((549783 1624707, 552447 1663668))	895	889	63.13	0.238611111111111
MultiLineString ((424575 2145186, 424575 2113884))	780	785	92.26999999999998	0.237222222222222
MultiLineString ((424575 2113884, 424575 2145186))	785	780	281.9599999999999	0.237222222222222
