迭代次数：1000
迭代精度：0.0001
wkt_geom	tail	head	flow	time
MultiLineString ((50000 510000, 320000 510000))	1	2	4518.28491301044	0.100013909262302
MultiLineString ((50000 510000, 50000 440000))	1	3	8092.691171403547	0.066809733510872
MultiLineString ((320000 510000, 50000 510000))	2	1	4493.500873468094	0.100013606220027
MultiLineString ((320000 510000, 320000 440000))	2	6	5990.582922552509	0.109986862252691
MultiLineString ((50000 440000, 50000 510000))	3	1	8117.475210945898	0.06681149652543
MultiLineString ((50000 440000, 130000 440000))	3	4	14044.958903449753	0.071206862863048
MultiLineString ((50000 440000, 50000 320000))	3	12	9989.574616081329	0.066998690178334
MultiLineString ((130000 440000, 50000 440000))	4	3	14021.983498189034	0.071176409817305
MultiLineString ((130000 440000, 220000 440000))	4	5	18043.549530874778	0.038633549358261
MultiLineString ((130000 440000, 130000 320000))	4	11	5308.488219780711	0.12051478168294
MultiLineString ((220000 440000, 130000 440000))	5	4	18020.035153324632	0.038605229528229
MultiLineString ((220000 440000, 320000 440000))	5	6	8807.445930109972	0.166883736000137
MultiLineString ((220000 440000, 220000 380000))	5	9	15801.98006700577	0.161343840975668
MultiLineString ((320000 440000, 320000 510000))	6	2	5965.798883010155	0.109547921157703
MultiLineString ((320000 440000, 220000 440000))	6	5	8799.570698699083	0.166497773997424
MultiLineString ((320000 440000, 320000 380000))	6	8	12525.462229162062	0.246899403747263
MultiLineString ((420000 380000, 320000 380000))	7	8	12041.20807401744	0.091697198907649
MultiLineString ((420000 380000, 420000 320000))	7	18	15861.92749753102	0.034388727717349
MultiLineString ((320000 380000, 320000 440000))	8	6	12492.802958208831	0.244636214150494
MultiLineString ((320000 380000, 420000 380000))	8	7	12100.755833661604	0.092537864521936
MultiLineString ((320000 380000, 220000 380000))	8	9	6835.39624220043	0.250732214794767
MultiLineString ((320000 380000, 320000 320000))	8	16	8406.218650718518	0.179631658797255
MultiLineString ((220000 380000, 220000 440000))	9	5	15786.340920866523	0.161035080027576
MultiLineString ((220000 380000, 320000 380000))	9	8	6880.838106060613	0.252992391100931
MultiLineString ((220000 380000, 220000 320000))	9	10	21815.71074997414	0.095302390716762
MultiLineString ((220000 320000, 220000 380000))	10	9	21745.513467695037	0.09472248707046
MultiLineString ((220000 320000, 130000 320000))	10	11	17607.204323476173	0.203428165840582
MultiLineString ((220000 320000, 220000 190000))	10	15	23192.320062631105	0.230277738237033
MultiLineString ((220000 320000, 320000 320000))	10	16	11075.007706419532	0.337094963595913
MultiLineString ((220000 320000, 320000 260000))	10	17	8100.608194921192	0.271842017687695
MultiLineString ((130000 320000, 130000 440000))	11	4	5209.027192070157	0.119019991391419
MultiLineString ((130000 320000, 220000 320000))	11	10	17725.130090377923	0.206838198862246
MultiLineString ((130000 320000, 50000 320000))	11	12	8405.386935620521	0.22888258365816
MultiLineString ((130000 320000, 130000 190000))	11	14	9817.185868376642	0.230860363489882
MultiLineString ((50000 320000, 50000 440000))	12	3	10037.3340608844	0.067005175818144
MultiLineString ((50000 320000, 130000 320000))	12	11	8365.947742693123	0.226476735045683
MultiLineString ((50000 320000, 50000 50000))	12	13	12395.96478073192	0.050393464950497
MultiLineString ((50000 50000, 50000 320000))	13	12	12304.285032607604	0.050382029118569
MultiLineString ((50000 50000, 130000 50000))	13	24	11111.081776591707	0.293498166904497
MultiLineString ((130000 190000, 130000 320000))	14	11	9775.089800495243	0.228445461713139
MultiLineString ((130000 190000, 220000 190000))	14	15	9082.572778289828	0.206154546658088
MultiLineString ((130000 190000, 130000 130000))	14	23	8387.135791927944	0.150961872722637
MultiLineString ((220000 190000, 220000 320000))	15	10	23131.41265265216	0.228681642091169
MultiLineString ((220000 190000, 130000 190000))	15	14	9033.407919186386	0.203824046579717
MultiLineString ((220000 190000, 320000 190000))	15	19	19113.659346508186	0.072253792253903
MultiLineString ((220000 190000, 220000 130000))	15	22	18385.38193779722	0.150812846850504
MultiLineString ((320000 320000, 320000 380000))	16	8	8387.66527554927	0.178783054687187
MultiLineString ((320000 320000, 220000 320000))	16	10	11046.174997237702	0.334751458384609
MultiLineString ((320000 320000, 320000 260000))	16	17	11673.990346545434	0.157479060009722
MultiLineString ((320000 320000, 420000 320000))	16	18	15349.131339838774	0.05277412520197
MultiLineString ((320000 260000, 220000 320000))	17	10	8102.225264901145	0.271952815447563
MultiLineString ((320000 260000, 320000 320000))	17	16	11686.18807175674	0.157999499413647
MultiLineString ((320000 260000, 320000 190000))	17	19	9939.60253765736	0.123436522245554
MultiLineString ((420000 320000, 420000 380000))	18	7	15802.379737886833	0.034372787826778
MultiLineString ((420000 320000, 320000 320000))	18	16	15289.547530276399	0.052734671942124
MultiLineString ((420000 320000, 320000 50000))	18	20	19009.206046700187	0.071017487892851
MultiLineString ((320000 190000, 220000 190000))	19	15	19083.34437802607	0.072091152238622
MultiLineString ((320000 190000, 320000 260000))	19	17	9953.417332848616	0.123939279798496
MultiLineString ((320000 190000, 320000 50000))	19	20	8704.992304602842	0.158489053727567
MultiLineString ((320000 50000, 420000 320000))	20	18	18990.07447749366	0.071003678695861
